jïjtsh	kråvnajgujmie
kråvnajgujmie	,
,	jïh
jïh	dan
dan	göögkeles
göögkeles	guktie
guktie	raaktan
raaktan	gånkaladtjijstie
gånkaladtjijstie	giltin
giltin	.
.	Dan
Dan	vöökeslaakan
vöökeslaakan	vååjnin
vååjnin	.
.	Biejjieh
Biejjieh	,
,	våhkoeh
våhkoeh	vaesieh
vaesieh	.
.	Åvletje
Åvletje	lij
lij	vïssjehtovveminie
vïssjehtovveminie	dehtie
dehtie	tråvneste
tråvneste	,
,	jïlhts
jïlhts	kråvnam
kråvnam	utni
utni	jïh
jïh	jïlhts
jïlhts	gaajhkesh
gaajhkesh	dovnesh
dovnesh	gïetide
gïetide	låapoestallin
låapoestallin	,
,	jeehtin:”Jemmede
jeehtin:”Jemmede	bielien
bielien	,
,	man
man	tjaebpies
tjaebpies	kråvna
kråvna	,
,	maam
maam	Gånkaladtje
Gånkaladtje	Jallohke
Jallohke	[
[	Jïllevoete
Jïllevoete	]
]	lea
lea	guedtieminie
guedtieminie	.
.	”
”	Giesie
Giesie	veesi
veesi	jïh
jïh	goh
goh	daelvie
daelvie	sjïdti
sjïdti	,
,	dle
dle	Åvletje
Åvletje	vïssjehtovveme
vïssjehtovveme	dehtie
dehtie	kråvneste
kråvneste	jïh
jïh	tråvneste
tråvneste	,
,	ihke
ihke	fïerhten
fïerhten	aejkien
aejkien	snjæjroeji
snjæjroeji	goh
goh	satnem
satnem	tråvnan
tråvnan	nïlle
nïlle	dejnie
dejnie	kråvnine
kråvnine	tjihkehti
tjihkehti	.
.	Fïerhten
Fïerhten	biejjien
biejjien	,
,	jïjjen
jïjjen	tjearoeji
tjearoeji	.
.	Minngemes
Minngemes	dle
dle	gånka
gånka	gon
gon	trööhnegh
trööhnegh	satnem
satnem	stilligan
stilligan	goerehtidh
goerehtidh	guktie
guktie	daaroen
daaroen	vuekieh-
vuekieh-	voeth
voeth	lin
lin	,
,	ihke
ihke	idtjigan
idtjigan	dam
dam	daejrieh
daejrieh	.
.	Tjoeveri
Tjoeveri	ajve
ajve	geehtedidh
geehtedidh	,
,	aellies
aellies	goh
goh	kråvna
kråvna	slahtjegh
